
  0%|                                                    | 0/18 [00:00<?, ?it/s]
tensor(2.3344, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3423, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3374, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3354, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3398, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3404, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3275, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3368, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3397, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3382, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3375, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3347, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3488, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3366, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3441, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3336, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3370, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3342, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3495, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3349, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3336, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3408, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3421, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3395, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3286, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3413, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3280, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3355, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3418, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3434, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3306, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3362, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3370, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3443, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3375, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3370, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3432, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3258, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3359, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3380, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3437, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3421, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3270, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3320, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3386, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3286, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3320, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3357, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3362, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3330, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3317, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3371, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3308, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3304, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3367, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3269, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3279, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3413, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3428, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3248, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3309, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3277, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3421, device='mps:0', grad_fn=<NllLossBackward0>)

  6%|██▍                                         | 1/18 [00:09<02:34,  9.10s/it]
tensor(2.3397, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3427, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3385, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3342, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3459, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3354, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3432, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3296, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3369, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3505, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3359, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3496, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3291, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3457, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3306, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3304, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3329, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3206, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3361, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3349, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3310, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3472, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3422, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3383, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3283, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3257, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3436, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3299, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3314, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3354, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3463, device='mps:0', grad_fn=<NllLossBackward0>)
