  0%|                                                     | 0/1 [00:00<?, ?it/s]
  0%|                                                   | 0/937 [00:00<?, ?it/s]
tensor(2.2966, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4.2593, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4.4240, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(8.4603, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(10.5373, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(16.5382, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(25.8852, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(41.2389, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(60.3110, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(101.4463, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(242.0606, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(455.2264, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(636.8469, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(776.3536, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2195.0425, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2719.5220, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3958.8618, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2677.6885, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2763.5449, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2315.8105, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2165.5557, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2837.4551, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3555.9768, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4764.6172, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2865.0212, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2921.7876, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2905.3352, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3096.3477, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2155.9988, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4581.5923, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2759.0979, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3554.6475, device='mps:0', grad_fn=<NllLossBackward0>)

  5%|██                                        | 46/937 [00:03<00:26, 33.10it/s]
tensor(2819.0027, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2499.7632, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3870.6162, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2934.2046, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4779.8584, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4106.4434, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3700.7759, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3056.6089, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4542.2891, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3403.3184, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4762.7212, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3468.3696, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2330.2583, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3331.2471, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(5700.5029, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3711.5774, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2947.4905, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3997.3203, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3344.3501, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3124.5205, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4432.4707, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3221.8423, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2253.9565, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4193.7275, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2101.4502, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3254.8359, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3961.7576, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2745.7339, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3346.0874, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2795.4854, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3626.6118, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2054.7646, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3182.2485, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3788.7966, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3531.8540, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3634.4219, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2507.9980, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2721.9478, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2769.2148, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2605.8940, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3175.1050, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2187.7612, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(5139.7109, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2380.4375, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3006.0693, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4486.6396, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3806.9182, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2951.1501, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4404.1870, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2968.3179, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2347.2588, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4358.4771, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3743.0527, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2304.7769, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3767.5381, device='mps:0', grad_fn=<NllLossBackward0>)

 10%|████▎                                     | 95/937 [00:05<00:21, 39.96it/s]
tensor(2683.7910, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(1906.8032, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(6037.7163, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4185.6450, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3664.1687, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3196.9346, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2535.3813, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3459.5559, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4861.9839, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2970.5251, device='mps:0', grad_fn=<NllLossBackward0>)

100%|█████████████████████████████████████████████| 1/1 [00:05<00:00,  5.89s/it]
