  0%|                                                     | 0/1 [00:00<?, ?it/s]
  5%|█▉                                        | 43/937 [00:01<00:23, 37.55it/s]
tensor(2.2966, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4.2593, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3.0985, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(7.5247, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(7.7542, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(11.9836, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(14.7440, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(22.5940, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(32.2217, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(72.2366, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(142.6350, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(169.2818, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(172.5467, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(144.9029, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(618.7609, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(470.7649, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(633.0819, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(239.6715, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(340.1030, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(159.3263, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(314.5090, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(376.6314, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(392.5597, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(845.6478, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(663.4101, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(155.4268, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(349.1485, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(543.8615, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(162.9148, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(752.4178, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(323.8532, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(338.1315, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(293.3771, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(337.5847, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(240.6551, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(448.3528, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(399.6225, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(930.0929, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(625.2227, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(684.6410, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(444.1077, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(497.0930, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(287.3936, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(818.8717, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(448.1512, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(276.6670, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(287.9649, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(661.9061, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(621.2196, device='mps:0', grad_fn=<NllLossBackward0>)

  9%|███▉                                      | 87/937 [00:03<00:30, 27.75it/s]
tensor(702.5688, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(483.4148, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(550.5125, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(564.9468, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(323.3610, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(366.0463, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(322.5297, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(482.3067, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(262.8850, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(572.0515, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(204.9427, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(449.0605, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(282.1285, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(386.1691, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(311.0212, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(410.9713, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(775.3044, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(564.7748, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(406.9363, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(166.6400, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(247.9136, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(421.6279, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(329.5532, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(326.3072, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(149.9600, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(976.7114, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(264.7804, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(512.9260, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(604.9366, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(474.0850, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(620.2028, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(578.1932, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(473.5707, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(231.9979, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(654.3875, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(500.4932, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(344.0594, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(805.1395, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(345.3182, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(249.9918, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(135.7351, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(1150.6123, device='mps:0', grad_fn=<NllLossBackward0>)

100%|█████████████████████████████████████████████| 1/1 [00:05<00:00,  5.31s/it]
tensor(358.2707, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(434.2643, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(250.6913, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(513.9333, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(883.2574, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(237.8739, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(243.0446, device='mps:0', grad_fn=<NllLossBackward0>)
