  0%|                                                     | 0/1 [00:00<?, ?it/s]
  5%|██                                        | 46/937 [00:01<00:16, 55.33it/s]
tensor(2.2966, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4.2593, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3.0985, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(7.5247, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(7.7542, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(11.9836, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(14.7440, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(22.5940, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(32.2217, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(61.9439, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(55.6285, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(77.5910, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(61.1699, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(50.5281, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(117.4146, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(80.0807, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(80.2597, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(137.3782, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(120.9380, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(150.7309, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(161.2500, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(200.5945, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(231.0796, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(278.3470, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(296.8564, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(284.3385, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(381.9748, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(292.2672, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(166.3223, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(306.0715, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(314.7262, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(323.2300, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(544.1924, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(489.7654, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(405.5135, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(330.2121, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(239.8462, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(384.4823, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(425.3510, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(617.1637, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(350.6501, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(373.1785, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(405.7355, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(732.1409, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(500.9568, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(333.8041, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(386.6883, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(618.2756, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(510.1153, device='mps:0', grad_fn=<NllLossBackward0>)

  9%|███▋                                      | 81/937 [00:03<00:27, 31.38it/s]
tensor(745.0436, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(409.8219, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(516.2770, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(497.9979, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(493.5906, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(398.5850, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(276.0158, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(520.8330, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(627.4479, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(600.2347, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(678.9038, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(647.4780, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(808.7125, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(871.8368, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(460.0065, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(1815.7878, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(5754.4731, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2349.5117, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(6222.9023, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(1503.5664, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4136.3872, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(4865.4844, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(7706.0059, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3561.7993, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(6729.4766, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(3720.3425, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(9090.7910, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(7313.8594, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(9704.6191, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(5476.3867, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(15245.9688, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(13566.1562, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(36443.8125, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(12218.9785, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(9164.9521, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(5740.9111, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(19677.4082, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(9252.6885, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(20535.1406, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(19655.1172, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(22244.3574, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(21751.9746, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(7991.1465, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(15936.3613, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(9147.8516, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(14069.9541, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(5670.5269, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(25821.6426, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(11318.1943, device='mps:0', grad_fn=<NllLossBackward0>)

100%|█████████████████████████████████████████████| 1/1 [00:04<00:00,  4.65s/it]
